id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-25 12:30:21.98549,,,,,,f,,1,1,1,2,1,2018-01-25 12:30:21.996068,received
2,2018-01-25 12:43:13.76281,,,,,,f,,2,2,2,3,1,2018-01-25 12:43:13.773195,received
3,2018-01-25 13:22:52.750953,,,,,,t,2018-01-25 13:27:42.205046,3,3,3,4,1,2018-01-25 13:22:52.76359,received
4,2018-01-25 13:56:34.600235,,,,,,f,,4,3,3,5,1,2018-01-25 13:56:34.607373,received
5,2018-01-25 14:00:41.463595,,,,,,f,,5,5,5,6,1,2018-01-25 14:00:41.472417,received
