id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-01-25 12:30:18.543941,,,,,,f,,participant,1,374TNBHA8BVVF6UV0CNFGFNM9YOYQT,1:374TNBHA8BVVF6UV0CNFGFNM9YOYQT,3WJGKMRWVI9L0ARR9VU4U5TG03LCD7,live,2018-01-25 12:36:14.717879,1.5,0,approved
2,2018-01-25 12:43:11.315472,,,,,,f,,participant,2,37W3JXSD6680Z3QHCLML8458XZ5YWX,2:37W3JXSD6680Z3QHCLML8458XZ5YWX,3WJGKMRWVI9L0ARR9VU4U5TG03LCD7,live,2018-01-25 12:46:31.392437,1.5,0,approved
3,2018-01-25 13:22:48.158312,,,,,,f,,participant,3,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,3:3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,3WJGKMRWVI9L0ARR9VU4U5TG03LCD7,live,2018-01-25 13:27:42.174805,,,returned
4,2018-01-25 13:56:31.464139,,,,,,f,,participant,4,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,4:3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,3WJGKMRWVI9L0ARR9VU4U5TG03LCD7,live,2018-01-25 13:59:52.927102,1.5,0,approved
5,2018-01-25 14:00:36.559523,,,,,,f,,participant,5,34FNN24DCM96MKBXGKZCI4SVD2F5Y1,5:34FNN24DCM96MKBXGKZCI4SVD2F5Y1,3WJGKMRWVI9L0ARR9VU4U5TG03LCD7,live,2018-01-25 14:05:22.519223,1.5,0,approved
