id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-01-25 11:35:55.800511,,,,,,f,,participant,1,33CID57104TJ86HUJMMT9ZSFQR73L4,1:33CID57104TJ86HUJMMT9ZSFQR73L4,3XDJY5RK5SL4M8PY2BEBL7LGUQZU4M,live,2018-01-25 11:44:11.489451,1.5,0,approved
2,2018-01-25 11:46:52.474303,,,,,,f,,participant,2,386CSBG1OZMTWMKPUTSNXO3TAOW6Q2,2:386CSBG1OZMTWMKPUTSNXO3TAOW6Q2,3XDJY5RK5SL4M8PY2BEBL7LGUQZU4M,live,2018-01-25 11:49:47.855547,1.5,0,approved
3,2018-01-25 12:01:09.018033,,,,,,f,,participant,3,388U7OUMF71YUCDA5J16TD37T7BR0M,3:388U7OUMF71YUCDA5J16TD37T7BR0M,3XDJY5RK5SL4M8PY2BEBL7LGUQZU4M,live,2018-01-25 12:02:04.187877,,,returned
4,2018-01-25 12:07:45.043876,,,,,,f,,participant,4,3SPJ0334213ETJQI5M36JEB0V3WYJ2,4:3SPJ0334213ETJQI5M36JEB0V3WYJ2,3XDJY5RK5SL4M8PY2BEBL7LGUQZU4M,live,2018-01-25 12:14:09.95821,1.5,0,approved
5,2018-01-25 12:14:53.181021,,,,,,f,,participant,5,33FOTY3KEMLUVZ99J5FBINNVYYFC15,5:33FOTY3KEMLUVZ99J5FBINNVYYFC15,3XDJY5RK5SL4M8PY2BEBL7LGUQZU4M,live,2018-01-25 12:17:01.846074,1.5,0,approved
