id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-25 11:35:59.116459,,,,,,f,,1,1,1,2,1,2018-01-25 11:35:59.122122,received
2,2018-01-25 11:46:55.387062,,,,,,f,,2,2,2,3,1,2018-01-25 11:46:55.390957,received
3,2018-01-25 12:01:15.255966,,,,,,t,2018-01-25 12:02:04.238158,3,3,3,4,1,2018-01-25 12:01:15.261525,received
4,2018-01-25 12:07:48.598647,,,,,,f,,4,3,3,5,1,2018-01-25 12:07:48.605101,received
5,2018-01-25 12:14:57.262353,,,,,,f,,5,4,5,6,1,2018-01-25 12:14:57.268083,received
